mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_coxnetsurvivalanalysis__alphas,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9783550262451173,0.17827480128501322,0.7572388648986816,0.11489917660854104,[0.1290665644915884],{'coxnetsurvivalanalysis__alphas': [0.1290665644915884]},0.5,0.7051369863013699,0.7524226320725227,0.5,0.7216202270381837,0.6358359690824151,0.11194359372549223,8
2.054718589782715,0.09326985210088014,0.7236038684844971,0.08756516152177068,[0.10128627332378388],{'coxnetsurvivalanalysis__alphas': [0.10128627332378388]},0.7868401759530792,0.7448630136986302,0.7727414817130354,0.8048081164534627,0.7515479876160991,0.7721601550868613,0.022143738214158062,5
2.184516716003418,0.1269479324695137,0.7175032138824463,0.12157950397899647,[0.07948541285058265],{'coxnetsurvivalanalysis__alphas': [0.07948541285058265]},0.8002199413489736,0.7430365296803653,0.795873710534542,0.8072342302602559,0.7523219814241486,0.779737278649657,0.026587778207195347,3
2.230640506744385,0.23867398369167736,0.7826679229736329,0.27359940559345264,[0.0623769702319969],{'coxnetsurvivalanalysis__alphas': [0.0623769702319969]},0.8077346041055719,0.7345890410958904,0.8005626758361988,0.8147331274812527,0.7458720330237358,0.7806982963085298,0.033534630688044034,2
2.1880361557006838,0.13145724114306231,0.7823975086212158,0.10898517699488589,[0.04895094930987587],{'coxnetsurvivalanalysis__alphas': [0.04895094930987587]},0.8037023460410557,0.7313926940639269,0.8074398249452954,0.821570357300397,0.7409700722394221,0.7810150589180195,0.037212077435383135,1
2.338258075714111,0.14002341296273374,0.6738855838775635,0.10047599968795591,[0.03841474552909407],{'coxnetsurvivalanalysis__alphas': [0.03841474552909407]},0.7873900293255132,0.7108447488584475,0.8008752735229759,0.8211292456991619,0.7479360165118679,0.7736350627835933,0.03947148362706282,4
2.876966857910156,0.3951761809555647,0.3433218479156494,0.18104690974515902,[0.03014635456247079],{'coxnetsurvivalanalysis__alphas': [0.03014635456247079]},0.7835410557184751,0.6982876712328767,0.7864957799312285,0.7992942214380239,0.5,0.7135237456641208,0.11261300451841234,6
96.168186378479,160.39045227782265,0.23305134773254393,0.19530381210601053,[0.023657652312649217],{'coxnetsurvivalanalysis__alphas': [0.023657652312649217]},0.7752932551319648,0.5,0.7855579868708972,0.7756947507719453,0.5,0.6673091985549615,0.13665686677558503,7
342.1399353504181,233.275427774499,0.12131052017211914,0.14892859665598998,[0.01856557852745978],{'coxnetsurvivalanalysis__alphas': [0.01856557852745978]},0.5,0.5,0.7758674585808065,0.5710189677988531,0.5,0.5693772852759319,0.10684616037065378,9
675.2781414031982,526.1099745692902,0.18118133544921874,0.15285797457967,[0.014569522854767062],{'coxnetsurvivalanalysis__alphas': [0.014569522854767062]},0.6200513196480938,0.5,0.3551109721788059,0.39126599029554476,0.5,0.4732856564244889,0.09344512168676958,20
662.9345271110535,547.7887834166944,0.11441612243652344,0.14092172331366273,[0.011433578323541938],{'coxnetsurvivalanalysis__alphas': [0.011433578323541938]},0.5,0.4817351598173516,0.5,0.5,0.6003611971104231,0.516419271385555,0.04256292261622168,11
1292.3795001506805,1073.2522834529868,0.1582958221435547,0.1322673745130971,[0.008972614586193882],{'coxnetsurvivalanalysis__alphas': [0.008972614586193882]},0.6438782991202346,0.5506849315068493,0.49671772428884026,0.5,0.5,0.5382561909831848,0.05650313235692376,10
47.74845104217529,17.4915898764477,0.0,0.0,[0.0070413487566366],{'coxnetsurvivalanalysis__alphas': [0.0070413487566366]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,14
43.18349914550781,20.721527024806228,0.0,0.0,[0.005525768641492437],{'coxnetsurvivalanalysis__alphas': [0.005525768641492437]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,14
95.39830150604249,47.167263097160294,0.0,0.0,[0.004336402035266639],{'coxnetsurvivalanalysis__alphas': [0.004336402035266639]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,14
151.13844480514527,99.4784569955234,0.0,0.0,[0.003403034732627864],{'coxnetsurvivalanalysis__alphas': [0.003403034732627864]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,14
1079.5046066761017,1435.3713197851127,0.05435004234313965,0.1087000846862793,[0.0026705654358820355],{'coxnetsurvivalanalysis__alphas': [0.0026705654358820355]},0.5,0.4808219178082192,0.5,0.5,0.5,0.4961643835616439,0.00767123287671232,18
1820.0678550720215,2037.8915677256282,0.08645353317260743,0.10637157086795435,[0.0020957528522844234],{'coxnetsurvivalanalysis__alphas': [0.0020957528522844234]},0.5,0.445662100456621,0.5,0.5,0.5964912280701754,0.5084306657053592,0.048801196297015806,13
3743.5518684864046,1822.2881035268763,0.15943098068237305,0.0810280386610694,[0.0016446629462227144],{'coxnetsurvivalanalysis__alphas': [0.0016446629462227144]},0.6191348973607038,0.3561643835616438,0.4763988746483276,0.5,0.5118679050567595,0.49271321212548697,0.0840406832742431,19
2475.556685972214,2989.5771783782375,0.07163515090942382,0.08773480421368625,[0.0012906656449158842],{'coxnetsurvivalanalysis__alphas': [0.0012906656449158842]},0.6418621700879765,0.5,0.5,0.42104102337891486,0.5,0.5125806386933782,0.07150948600214159,12
