## trainnig 
# mean cindex: [0.64194376 0.65208461 0.63664506 0.52603711 0.5       ] 
# best alpha: [0.025118864315095794] 
## validation 
# cindex:0.7637246358770073 
# features in: 3596+age+treatment, features out: 40 
## baseline 
## features: ['age', 'treatGroup=Endo', 'treatGroup=EndoCyto', 'treatGroup=EndoCytoImmu'] 
# cindex: 0.6310842773559069 
# base_mean_auc: 0.6259041297743244 
AUC,base,time,mean
0.7805729125294805,0.6936798375503709,724.0,0.7515607387648139
0.727421370832626,0.672641890448832,784.0,0.7515607387648139
0.7295445490043486,0.6746192148407035,844.0,0.7515607387648139
0.7443288769154449,0.691651554175667,904.0,0.7515607387648139
0.761038251684953,0.6979299012769975,964.0,0.7515607387648139
0.7568956569470502,0.6741355033581213,1024.0,0.7515607387648139
0.7568956569470502,0.6741355033581213,1084.0,0.7515607387648139
0.7569387954035705,0.6731990348707306,1144.0,0.7515607387648139
0.7570019034756308,0.6880064012716405,1204.0,0.7515607387648139
0.7565588165632452,0.6894737387462043,1264.0,0.7515607387648139
0.7746221225178523,0.6667244313268927,1324.0,0.7515607387648139
0.7746221225178523,0.6667244313268927,1384.0,0.7515607387648139
0.774805465660727,0.682851536368521,1444.0,0.7515607387648139
0.7747523116597803,0.6833443822377268,1504.0,0.7515607387648139
0.7819982382408353,0.6595554312172538,1564.0,0.7515607387648139
0.803028684940783,0.649750840043887,1624.0,0.7515607387648139
0.8028897780108103,0.6496941827975795,1684.0,0.7515607387648139
0.8021791348779408,0.6495800585974765,1744.0,0.7515607387648139
0.8028867468321628,0.6524216897109432,1804.0,0.7515607387648139
0.7966815364074444,0.6585567477017442,1864.0,0.7515607387648139
0.7886917178710482,0.6624693065138932,1924.0,0.7515607387648139
0.7053801584393526,0.5945254075108373,1984.0,0.7515607387648139
0.7198073452635319,0.6481065478321177,2044.0,0.7515607387648139
0.7157035005680958,0.6436930217515346,2104.0,0.7515607387648139
0.7001008479588249,0.6101310335079018,2164.0,0.7515607387648139
0.7611061341082395,0.4917752521971975,2224.0,0.7515607387648139
