dataset,N_round,performance,features
denovo/genes,1,0.7286712775732866,1358
denovo/genes,2,0.7612094402274168,433
denovo/genes,3,0.7746376432730928,104
denovo/genes,4,0.7993451769157134,68
denovo/genes,5,0.8036340726937228,68
denovo/genes,6,0.8033425587733846,65
denovo/genes,7,0.8007688017774877,64
denovo/genes,8,0.8004682845994676,64
denovo/genes,9,0.8009435595222062,64
