fetures,p.val,p.adjust
LINC01234_MSTRG.22471,0.00558858432900735,0.108589977583992
-_MSTRG.78916,NA,NA
-_MSTRG.5761,NA,NA
-_MSTRG.29857,NA,NA
-_MSTRG.60139,NA,NA
-_MSTRG.84382,NA,NA
-_MSTRG.32967,NA,NA
-_MSTRG.12645,NA,NA
RNU6-87P_MSTRG.20305,0.96884156525919,1
-_MSTRG.6269,NA,NA
-_MSTRG.90205,NA,NA
-_MSTRG.44612,NA,NA
-_MSTRG.36570,NA,NA
-_MSTRG.42421,NA,NA
FOXD4L4_MSTRG.89573,0.628657278142989,1
-_MSTRG.72624,NA,NA
AL031710.1_MSTRG.32318,0.920233827339461,1
-_MSTRG.51193,NA,NA
AF233439.1_MSTRG.84098,0.00541083403189858,0.105427539400282
-_MSTRG.45713,NA,NA
-_MSTRG.67097,NA,NA
-_MSTRG.43952,NA,NA
-_MSTRG.17875,NA,NA
-_MSTRG.16868,NA,NA
-_MSTRG.40185,NA,NA
AL500527.1_MSTRG.12441,0.884810008079912,1
MIR425_MSTRG.60700,0.782723521509579,1
-_MSTRG.90505,NA,NA
-_MSTRG.9811,NA,NA
-_MSTRG.30573,NA,NA
-_MSTRG.11265,NA,NA
-_MSTRG.32971,NA,NA
-_MSTRG.88982,NA,NA
AC110609.1_MSTRG.67707,0.451233888769234,1
-_MSTRG.19491,NA,NA
-_MSTRG.32212,NA,NA
-_MSTRG.39735,NA,NA
GTSCR1_MSTRG.41896,0.0191637266948328,0.287790191133793
AP001029.3_MSTRG.40636,0.78982224425204,1
-_MSTRG.284,NA,NA
-_MSTRG.34343,NA,NA
HSPE1P5_MSTRG.34887,0.520618603013396,1
AC080013.6_MSTRG.63418,0.629407166762162,1
AC095057.1_MSTRG.65653,0.439075733598955,1
-_MSTRG.68989,NA,NA
-_MSTRG.22492,NA,NA
-_MSTRG.29052,NA,NA
AC015849.3_MSTRG.37550,0.30782581257167,1
RNU6-433P_MSTRG.47805,0.423449056860226,1
-_MSTRG.9211,NA,NA
-_MSTRG.29260,NA,NA
SNRPCP13_MSTRG.65025,0.756565768825018,1
RPL23AP67_MSTRG.23277,0.137303810491661,1
-_MSTRG.25189,NA,NA
CHRM3-AS2_MSTRG.8975,0.909727005933141,1
-_MSTRG.79393,NA,NA
-_MSTRG.70879,NA,NA
-_MSTRG.35399,NA,NA
MIR4802_MSTRG.65671,0.764501789079704,1
-_MSTRG.51858,NA,NA
RPL7P59_MSTRG.83466,0.625900509892843,1
GCKR_MSTRG.47070,0.0504012440608153,0.587327646260065
-_MSTRG.22181,NA,NA
PAIP1P1_MSTRG.75087,0.5827370195192,1
AC008569.2_MSTRG.43275,0.389633103454712,1
AL049828.1_MSTRG.26481,0.0691745518184339,0.741188543029926
-_MSTRG.86822,NA,NA
-_MSTRG.42630,NA,NA
-_MSTRG.81904,NA,NA
-_MSTRG.82033,NA,NA
MIR548V_MSTRG.84549,0.268647491848196,1
-_MSTRG.34421,NA,NA
-_MSTRG.61148,NA,NA
-_MSTRG.56476,NA,NA
-_MSTRG.82712,NA,NA
-_MSTRG.6636,NA,NA
-_MSTRG.87615,NA,NA
AC084754.1_MSTRG.19649,0.325222221743176,1
-_MSTRG.76328,NA,NA
-_MSTRG.5216,NA,NA
-_MSTRG.54715,NA,NA
AL049779.2_MSTRG.27290,0.0585910677231578,0.658392541511372
REELD1_MSTRG.68084,0.184384005727878,1
-_MSTRG.22859,NA,NA
-_MSTRG.51804,NA,NA
MIR938_MSTRG.10237,0.985369106735729,1
-_MSTRG.49465,NA,NA
-_MSTRG.91722,NA,NA
-_MSTRG.44068,NA,NA
-_MSTRG.92370,NA,NA
-_MSTRG.58935,NA,NA
-_MSTRG.47256,NA,NA
AC018695.1_MSTRG.35465,0.0646398297533942,0.704955165025125
-_MSTRG.91724,NA,NA
RAET1K_MSTRG.78416,3.06796358156072e-12,1.01904705294927e-09
-_MSTRG.24379,NA,NA
AL133445.2_MSTRG.27366,0.593610881369149,1
-_MSTRG.39024,NA,NA
-_MSTRG.92140,NA,NA
FSIP2-AS1_MSTRG.51514,0.600586821059598,1
