dataset,N_round,performance,features
denovo/genes,1,0.6722466618506686,132
denovo/genes,2,0.7024709137918352,50
denovo/genes,3,0.6984474420510716,50
denovo/genes,4,0.6987766802831868,48
denovo/genes,5,0.7034582231167437,48
denovo/genes,6,0.7032324752072594,24
denovo/genes,7,0.6963853825265182,24
denovo/genes,8,0.6956439014224456,24
denovo/genes,9,0.696305315714762,24
