fetures,p.val,p.adjust
-_MSTRG.60139,NA,NA
-_MSTRG.84382,NA,NA
-_MSTRG.32967,NA,NA
-_MSTRG.12645,NA,NA
RNU6-87P_MSTRG.20305,0.725472191910534,1
-_MSTRG.6269,NA,NA
-_MSTRG.90205,NA,NA
-_MSTRG.44612,NA,NA
-_MSTRG.36570,NA,NA
-_MSTRG.42421,NA,NA
FOXD4L4_MSTRG.89573,0.932592854945529,1
-_MSTRG.72624,NA,NA
AL031710.1_MSTRG.32318,0.26868120780462,1
-_MSTRG.51193,NA,NA
AF233439.1_MSTRG.84098,0.888794209389041,1
-_MSTRG.45713,NA,NA
-_MSTRG.67097,NA,NA
-_MSTRG.43952,NA,NA
-_MSTRG.17875,NA,NA
-_MSTRG.16868,NA,NA
-_MSTRG.40185,NA,NA
AL500527.1_MSTRG.12441,0.38396192561638,1
MIR425_MSTRG.60700,0.226999337466203,1
-_MSTRG.90505,NA,NA
-_MSTRG.9811,NA,NA
-_MSTRG.30573,NA,NA
-_MSTRG.11265,NA,NA
-_MSTRG.32971,NA,NA
-_MSTRG.88982,NA,NA
AC110609.1_MSTRG.67707,0.486335393620089,1
-_MSTRG.19491,NA,NA
-_MSTRG.32212,NA,NA
-_MSTRG.39735,NA,NA
GTSCR1_MSTRG.41896,0.890904176380337,1
AP001029.3_MSTRG.40636,0.0125978224217679,0.30524212581267
-_MSTRG.284,NA,NA
-_MSTRG.34343,NA,NA
HSPE1P5_MSTRG.34887,0.400046297898505,1
AC080013.6_MSTRG.63418,0.706136397594583,1
AC095057.1_MSTRG.65653,0.309410182149074,1
-_MSTRG.68989,NA,NA
-_MSTRG.22492,NA,NA
-_MSTRG.29052,NA,NA
AC015849.3_MSTRG.37550,0.762523655621908,1
RNU6-433P_MSTRG.47805,0.54113806215848,1
-_MSTRG.9211,NA,NA
-_MSTRG.29260,NA,NA
SNRPCP13_MSTRG.65025,0.252558309428008,1
RPL23AP67_MSTRG.23277,0.887267648968305,1
-_MSTRG.25189,NA,NA
CHRM3-AS2_MSTRG.8975,0.122907365540623,1
-_MSTRG.79393,NA,NA
-_MSTRG.70879,NA,NA
-_MSTRG.35399,NA,NA
MIR4802_MSTRG.65671,0.48216067967884,1
-_MSTRG.51858,NA,NA
RPL7P59_MSTRG.83466,0.300512395486009,1
GCKR_MSTRG.47070,0.356533291426603,1
-_MSTRG.22181,NA,NA
PAIP1P1_MSTRG.75087,0.396213597682248,1
AC008569.2_MSTRG.43275,0.466752273550003,1
AL049828.1_MSTRG.26481,0.878107823942238,1
-_MSTRG.86822,NA,NA
-_MSTRG.42630,NA,NA
-_MSTRG.81904,NA,NA
-_MSTRG.82033,NA,NA
MIR548V_MSTRG.84549,0.94900053264361,1
-_MSTRG.34421,NA,NA
-_MSTRG.61148,NA,NA
-_MSTRG.56476,NA,NA
-_MSTRG.82712,NA,NA
-_MSTRG.6636,NA,NA
-_MSTRG.87615,NA,NA
AC084754.1_MSTRG.19649,0.00358092729294472,0.126620148303085
-_MSTRG.76328,NA,NA
-_MSTRG.5216,NA,NA
-_MSTRG.54715,NA,NA
AL049779.2_MSTRG.27290,0.385133194004045,1
REELD1_MSTRG.68084,0.277657690856887,1
-_MSTRG.22859,NA,NA
-_MSTRG.51804,NA,NA
MIR938_MSTRG.10237,0.951672166317804,1
-_MSTRG.49465,NA,NA
-_MSTRG.91722,NA,NA
-_MSTRG.44068,NA,NA
-_MSTRG.92370,NA,NA
-_MSTRG.58935,NA,NA
-_MSTRG.47256,NA,NA
AC018695.1_MSTRG.35465,0.482384510104863,1
-_MSTRG.91724,NA,NA
RAET1K_MSTRG.78416,2.27304654401427e-08,1.44480579160988e-05
-_MSTRG.24379,NA,NA
AL133445.2_MSTRG.27366,0.0598862736461146,0.86723054153371
-_MSTRG.39024,NA,NA
-_MSTRG.92140,NA,NA
FSIP2-AS1_MSTRG.51514,0.429935858858276,1
AC078795.2_MSTRG.63620,0.0414921616479742,0.684515192396615
EIF4A2P1_MSTRG.40652,0.00594005585318087,0.181051528981634
-_MSTRG.4254,NA,NA
-_MSTRG.50,NA,NA
-_MSTRG.38925,NA,NA
MIR4441_MSTRG.53187,0.324088869095381,1
MIRLET7C_MSTRG.56229,0.233504743320967,1
AC015977.1_MSTRG.47001,0.645473502578533,1
-_MSTRG.48713,NA,NA
-_MSTRG.74413,NA,NA
AC107081.1_MSTRG.47968,0.932217476861129,1
-_MSTRG.75243,NA,NA
-_MSTRG.88303,NA,NA
-_MSTRG.29969,NA,NA
-_MSTRG.72334,NA,NA
-_MSTRG.45262,NA,NA
-_MSTRG.68498,NA,NA
AC126544.1_MSTRG.38304,0.0188060755199671,0.40372289553908
-_MSTRG.24376,NA,NA
-_MSTRG.26247,NA,NA
-_MSTRG.17597,NA,NA
-_MSTRG.56948,NA,NA
-_MSTRG.51516,NA,NA
-_MSTRG.9206,NA,NA
AC008875.1_MSTRG.70268,0.707572401400157,1
CYP51A1P1_MSTRG.61499,0.367379542271857,1
AC114964.1_MSTRG.69629,0.829363690818985,1
-_MSTRG.3399,NA,NA
RPL8P2_MSTRG.56571,0.227503504657661,1
-_MSTRG.28262,NA,NA
-_MSTRG.70755,NA,NA
-_MSTRG.57977,NA,NA
-_MSTRG.73842,NA,NA
AC010999.2_MSTRG.30309,0.581266192191198,1
-_MSTRG.74617,NA,NA
-_MSTRG.60668,NA,NA
SPIC_MSTRG.21998,0.3322839940209,1
-_MSTRG.17678,NA,NA
-_MSTRG.73062,NA,NA
TRBV6-7_MSTRG.83305,0.612511651584354,1
