## trainnig 
# mean cindex: [0.72060216 0.72095421 0.71090055 0.69935341 0.69814575] 
# best alpha: [0.025118864315095794] 
## validation 
# cindex:0.7137502555598464 
# features in: 857+age+treatment, features out: 44 
## baseline 
## features: ['age', 'treatGroup=CytoImmu', 'treatGroup=Endo', 'treatGroup=EndoCyto', 'treatGroup=EndoCytoImmu', 'treatGroup=EndoImmu'] 
# cindex: 0.7074691624451966 
# base_mean_auc: 0.7264476659177086 
AUC,base,time,mean
0.7640255596033327,0.7497352038419242,775.5,0.7304672651147723
0.7722207019709445,0.7585831501266684,835.5,0.7304672651147723
0.7646793239912726,0.7442454231987335,895.5,0.7304672651147723
0.7275391204786106,0.730985256338062,955.5,0.7304672651147723
0.7314526149584074,0.7162562548687551,1015.5,0.7304672651147723
0.7357752211614145,0.7199097618267033,1075.5,0.7304672651147723
0.7425039113389432,0.7274239297483261,1135.5,0.7304672651147723
0.7254285540652251,0.7164801030902238,1195.5,0.7304672651147723
0.7189508187661758,0.706850021723126,1255.5,0.7304672651147723
0.7234986898148208,0.7122723063748314,1315.5,0.7304672651147723
0.6982014557894256,0.6840002363804251,1375.5,0.7304672651147723
0.7073782781873373,0.6922784708255618,1435.5,0.7304672651147723
0.7048559855956262,0.6901284128779643,1495.5,0.7304672651147723
0.7086635765077965,0.6947939943212164,1555.5,0.7304672651147723
0.7093816765654489,0.6974907617606301,1615.5,0.7304672651147723
0.7233946887353301,0.7124523806217309,1675.5,0.7304672651147723
0.7141101442333638,0.7040832430703889,1735.5,0.7304672651147723
0.7223149579808579,0.7157929024487958,1795.5,0.7304672651147723
0.7218801397886303,0.7171691530814357,1855.5,0.7304672651147723
0.7353625384638945,0.7311899008602141,1915.5,0.7304672651147723
0.7219217331113617,0.7241118315847866,1975.5,0.7304672651147723
0.7234218186770471,0.7251770936031078,2035.5,0.7304672651147723
0.7139775626292975,0.7148806945010682,2095.5,0.7304672651147723
0.7122802116042916,0.7136440925367838,2155.5,0.7304672651147723
0.717523836865956,0.7208904072666197,2215.5,0.7304672651147723
0.7158622943803252,0.7164448540097945,2275.5,0.7304672651147723
0.716080090161946,0.7186662581309247,2335.5,0.7304672651147723
0.7144543238025618,0.7215032453813346,2395.5,0.7304672651147723
0.7152871893894241,0.7241476639771689,2455.5,0.7304672651147723
0.7118424437550075,0.7218227168315582,2515.5,0.7304672651147723
0.7107183362591993,0.719894985002103,2575.5,0.7304672651147723
0.7110945534017376,0.7233890756284457,2635.5,0.7304672651147723
0.7207588668081222,0.7391771019294209,2695.5,0.7304672651147723
0.7323774533667868,0.7454038883150358,2755.5,0.7304672651147723
0.7322687752828213,0.7473997743881907,2815.5,0.7304672651147723
0.745739534275179,0.7675082498742771,2875.5,0.7304672651147723
0.7401713911510743,0.7536279100003982,2935.5,0.7304672651147723
0.6776155381392222,0.682991302976808,2995.5,0.7304672651147723
0.6465165290241703,0.6601682443340433,3055.5,0.7304672651147723
