dataset,N_round,performance,features
normal/genes,1,0.6211451233248737,2397
normal/genes,2,0.6679746534572443,411
normal/genes,3,0.6961852421015419,25
normal/genes,4,0.7108142506678955,18
normal/genes,5,0.7032189834285222,16
normal/genes,6,0.6927418557516675,14
normal/genes,7,0.6998953275663508,12
normal/genes,8,0.6864373198873925,10
normal/genes,9,0.6920983731365973,8
