dataset,N_round,performance,features
normal/transcripts,1,0.7828337530876412,4357
normal/transcripts,2,0.8051651478130961,2018
normal/transcripts,3,0.8303239634674088,1386
normal/transcripts,4,0.8401788029103426,1249
normal/transcripts,5,0.838913940184129,715
normal/transcripts,6,0.8619347867186922,715
normal/transcripts,7,0.8594098085326076,715
normal/transcripts,8,0.8590004649820738,715
normal/transcripts,9,0.8600138242049743,715
