fetures,p-val
AC095057.1_MSTRG.65653,0.7597163734523111
-_MSTRG.68989,
-_MSTRG.22492,
-_MSTRG.29052,
AC015849.3_MSTRG.37550,0.33634990018650696
RNU6-433P_MSTRG.47805,0.8878549577729118
-_MSTRG.9211,
-_MSTRG.29260,
SNRPCP13_MSTRG.65025,0.2478337940983188
RPL23AP67_MSTRG.23277,0.5181741452724485
-_MSTRG.25189,
CHRM3-AS2_MSTRG.8975,0.4159653796185311
-_MSTRG.79393,
-_MSTRG.70879,
-_MSTRG.35399,
MIR4802_MSTRG.65671,0.9748170980215332
-_MSTRG.51858,
RPL7P59_MSTRG.83466,0.039546157757241976
GCKR_MSTRG.47070,0.7388207065691087
-_MSTRG.22181,
PAIP1P1_MSTRG.75087,0.7710702034785533
AC008569.2_MSTRG.43275,0.4906528788021084
AL049828.1_MSTRG.26481,0.8881626715309988
-_MSTRG.86822,
-_MSTRG.42630,
-_MSTRG.81904,
-_MSTRG.82033,
MIR548V_MSTRG.84549,0.612446847938213
-_MSTRG.34421,
-_MSTRG.61148,
-_MSTRG.56476,
-_MSTRG.82712,
-_MSTRG.6636,
-_MSTRG.87615,
AC084754.1_MSTRG.19649,0.821211602296561
-_MSTRG.76328,
-_MSTRG.5216,0.5298592384682654
-_MSTRG.54715,
AL049779.2_MSTRG.27290,0.56465688387625
REELD1_MSTRG.68084,0.3331716388031133
-_MSTRG.22859,
-_MSTRG.51804,
MIR938_MSTRG.10237,0.2788945026402085
-_MSTRG.49465,
-_MSTRG.91722,
-_MSTRG.44068,
-_MSTRG.92370,
-_MSTRG.58935,
-_MSTRG.47256,
AC018695.1_MSTRG.35465,0.33854315283706543
-_MSTRG.91724,
RAET1K_MSTRG.78416,6.034047183278425e-10
-_MSTRG.24379,
AL133445.2_MSTRG.27366,0.43723249350757587
-_MSTRG.39024,
-_MSTRG.92140,
FSIP2-AS1_MSTRG.51514,0.1070421395059978
AC078795.2_MSTRG.63620,0.039885270822407386
EIF4A2P1_MSTRG.40652,0.3004680564238736
-_MSTRG.4254,0.8146591417281839
-_MSTRG.50,
-_MSTRG.38925,
MIR4441_MSTRG.53187,0.4764119400366378
MIRLET7C_MSTRG.56229,0.8441707575121182
AC015977.1_MSTRG.47001,0.4311439685052282
-_MSTRG.48713,
-_MSTRG.74413,
AC107081.1_MSTRG.47968,0.3832227512883537
-_MSTRG.75243,
-_MSTRG.88303,
-_MSTRG.29969,
-_MSTRG.72334,
-_MSTRG.45262,
-_MSTRG.68498,
AC126544.1_MSTRG.38304,0.14810130838465949
-_MSTRG.24376,
-_MSTRG.26247,
-_MSTRG.17597,
-_MSTRG.56948,
-_MSTRG.51516,
-_MSTRG.9206,
AC008875.1_MSTRG.70268,0.9397858424317812
CYP51A1P1_MSTRG.61499,0.12735443386396142
AC114964.1_MSTRG.69629,0.5947836949976519
-_MSTRG.3399,0.7613201873047923
RPL8P2_MSTRG.56571,0.566946715932894
-_MSTRG.28262,
-_MSTRG.70755,
-_MSTRG.57977,
-_MSTRG.73842,
AC010999.2_MSTRG.30309,0.998503067663172
-_MSTRG.74617,
-_MSTRG.60668,
SPIC_MSTRG.21998,0.9712414404163233
-_MSTRG.17678,
-_MSTRG.73062,
TRBV6-7_MSTRG.83305,0.3612341963038256
-_MSTRG.70490,
-_MSTRG.6883,
-_MSTRG.75608,
-_MSTRG.32077,
-_MSTRG.17354,
-_MSTRG.25836,
PNPLA1_MSTRG.75548,0.4906617098143976
-_MSTRG.84832,
-_MSTRG.545,0.15146216475183946
-_MSTRG.60226,
-_MSTRG.70100,
AC011491.2_MSTRG.42648,0.7267651717058322
-_MSTRG.55911,
MIMT1_MSTRG.46125,0.5940038352511305
-_MSTRG.27405,
CLEC4GP1_MSTRG.42758,0.8524416543097987
-_MSTRG.30822,
MIR3117_MSTRG.3454,0.9632036614738952
-_MSTRG.32650,
-_MSTRG.4251,0.600663708481455
-_MSTRG.71101,
-_MSTRG.66816,
-_MSTRG.17030,
PPIAP58_MSTRG.44074,0.6341244075490312
-_MSTRG.14051,
RNY1P14_MSTRG.67960,0.11914368287143652
AC023310.2_MSTRG.28905,0.7219101442499838
-_MSTRG.31504,
-_MSTRG.47514,
AL162385.2_MSTRG.90444,0.4772774588745867
AC104561.4_MSTRG.84753,0.568051014090015
-_MSTRG.20204,
AL035425.1_MSTRG.94504,0.10933998604029699
-_MSTRG.89324,
-_MSTRG.82138,
-_MSTRG.92762,
UBE2D3P2_MSTRG.60210,0.621719108374315
-_MSTRG.8228,
RNU6-388P_MSTRG.80004,0.7240924598448161
GGTA2P_MSTRG.21061,0.142142624473046
-_MSTRG.38658,
-_MSTRG.31903,
AC079089.1_MSTRG.86223,0.011701807930711343
MIR6071_MSTRG.48651,0.30227514261188143
-_MSTRG.86352,
-_MSTRG.91857,
-_MSTRG.3685,0.5721876615750899
KRT3_MSTRG.20435,
-_MSTRG.73479,
HMGN1P7_MSTRG.61623,0.5821943033300374
-_MSTRG.29447,
-_MSTRG.56552,
-_MSTRG.56213,
-_MSTRG.12082,
-_MSTRG.95184,
-_MSTRG.36032,
-_MSTRG.85994,
-_MSTRG.36284,
-_MSTRG.60574,
AL359715.1_MSTRG.76711,0.03028178079512234
AC097721.1_MSTRG.50440,0.5884528805771627
-_MSTRG.71569,
UMODL1-AS1_MSTRG.57044,0.314396842259529
-_MSTRG.59457,
-_MSTRG.51076,
AC079598.3_MSTRG.21561,0.02185551999420138
-_MSTRG.45048,
LINC00412_MSTRG.23653,0.4647050520365149
-_MSTRG.24273,
-_MSTRG.52654,
-_MSTRG.45716,
-_MSTRG.68022,
-_MSTRG.76782,
-_MSTRG.64613,
-_MSTRG.1496,0.07437125958327157
-_MSTRG.58406,
-_MSTRG.87614,
-_MSTRG.72848,
-_MSTRG.62694,
AC003956.1_MSTRG.43336,0.9528033425762322
-_MSTRG.23314,
AL513365.2_MSTRG.1706,0.4680585359737427
-_MSTRG.88551,
-_MSTRG.64157,
-_MSTRG.49618,
-_MSTRG.54542,
-_MSTRG.80969,
-_MSTRG.75282,
-_MSTRG.48589,
-_MSTRG.12052,
-_MSTRG.81779,
AC004943.1_MSTRG.35070,0.2561474939684723
-_MSTRG.72385,
-_MSTRG.67273,
-_MSTRG.61753,
RNU6-1003P_MSTRG.69669,0.15233022144125258
-_MSTRG.12072,
-_MSTRG.49911,
-_MSTRG.17272,
-_MSTRG.61802,
U47924.3_MSTRG.18900,0.04106059604967496
-_MSTRG.71187,
-_MSTRG.83919,
