fetures,p.val,p.adjust
-_MSTRG.60139,NA,NA
-_MSTRG.84382,NA,NA
-_MSTRG.32967,NA,NA
-_MSTRG.12645,NA,NA
RNU6-87P_MSTRG.20305,0.66684938460627,1
-_MSTRG.6269,NA,NA
-_MSTRG.90205,NA,NA
-_MSTRG.44612,NA,NA
-_MSTRG.36570,NA,NA
-_MSTRG.42421,NA,NA
FOXD4L4_MSTRG.89573,0.797700178108329,1
-_MSTRG.72624,NA,NA
AL031710.1_MSTRG.32318,0.285440031602967,1
-_MSTRG.51193,NA,NA
AF233439.1_MSTRG.84098,0.13412170049597,1
-_MSTRG.45713,NA,NA
-_MSTRG.67097,NA,NA
-_MSTRG.43952,NA,NA
-_MSTRG.17875,NA,NA
-_MSTRG.16868,NA,NA
-_MSTRG.40185,NA,NA
AL500527.1_MSTRG.12441,0.642105592496389,1
MIR425_MSTRG.60700,0.132265570572637,1
-_MSTRG.90505,NA,NA
-_MSTRG.9811,NA,NA
-_MSTRG.30573,NA,NA
-_MSTRG.11265,NA,NA
-_MSTRG.32971,NA,NA
-_MSTRG.88982,NA,NA
AC110609.1_MSTRG.67707,0.692985598362063,1
-_MSTRG.19491,NA,NA
-_MSTRG.32212,NA,NA
-_MSTRG.39735,NA,NA
GTSCR1_MSTRG.41896,0.778261512335852,1
AP001029.3_MSTRG.40636,0.279314005764416,1
-_MSTRG.284,NA,NA
-_MSTRG.34343,NA,NA
HSPE1P5_MSTRG.34887,0.235795680501777,1
AC080013.6_MSTRG.63418,0.963953284214503,1
AC095057.1_MSTRG.65653,0.759716373452311,1
-_MSTRG.68989,NA,NA
-_MSTRG.22492,NA,NA
-_MSTRG.29052,NA,NA
AC015849.3_MSTRG.37550,0.336349900186507,1
RNU6-433P_MSTRG.47805,0.887854957772912,1
-_MSTRG.9211,NA,NA
-_MSTRG.29260,NA,NA
SNRPCP13_MSTRG.65025,0.247833794098319,1
RPL23AP67_MSTRG.23277,0.518174145272449,1
-_MSTRG.25189,NA,NA
CHRM3-AS2_MSTRG.8975,0.415965379618531,1
-_MSTRG.79393,NA,NA
-_MSTRG.70879,NA,NA
-_MSTRG.35399,NA,NA
MIR4802_MSTRG.65671,0.974817098021533,1
-_MSTRG.51858,NA,NA
RPL7P59_MSTRG.83466,0.039546157757242,0.596643461670778
GCKR_MSTRG.47070,0.738820706569109,1
-_MSTRG.22181,NA,NA
PAIP1P1_MSTRG.75087,0.771070203478553,1
AC008569.2_MSTRG.43275,0.490652878802108,1
AL049828.1_MSTRG.26481,0.888162671530999,1
-_MSTRG.86822,NA,NA
-_MSTRG.42630,NA,NA
-_MSTRG.81904,NA,NA
-_MSTRG.82033,NA,NA
MIR548V_MSTRG.84549,0.612446847938213,1
-_MSTRG.34421,NA,NA
-_MSTRG.61148,NA,NA
-_MSTRG.56476,NA,NA
-_MSTRG.82712,NA,NA
-_MSTRG.6636,NA,NA
-_MSTRG.87615,NA,NA
AC084754.1_MSTRG.19649,0.821211602296561,1
-_MSTRG.76328,NA,NA
-_MSTRG.5216,0.529859238468265,1
-_MSTRG.54715,NA,NA
AL049779.2_MSTRG.27290,0.56465688387625,1
REELD1_MSTRG.68084,0.333171638803113,1
-_MSTRG.22859,NA,NA
-_MSTRG.51804,NA,NA
MIR938_MSTRG.10237,0.278894502640208,1
-_MSTRG.49465,NA,NA
-_MSTRG.91722,NA,NA
-_MSTRG.44068,NA,NA
-_MSTRG.92370,NA,NA
-_MSTRG.58935,NA,NA
-_MSTRG.47256,NA,NA
AC018695.1_MSTRG.35465,0.338543152837065,1
-_MSTRG.91724,NA,NA
RAET1K_MSTRG.78416,6.03404718327843e-10,8.21097568965862e-07
-_MSTRG.24379,NA,NA
AL133445.2_MSTRG.27366,0.437232493507576,1
-_MSTRG.39024,NA,NA
-_MSTRG.92140,NA,NA
FSIP2-AS1_MSTRG.51514,0.107042139505998,1
AC078795.2_MSTRG.63620,0.0398852708224074,0.600828179857222
EIF4A2P1_MSTRG.40652,0.300468056423874,1
-_MSTRG.4254,0.814659141728184,1
-_MSTRG.50,NA,NA
-_MSTRG.38925,NA,NA
MIR4441_MSTRG.53187,0.476411940036638,1
MIRLET7C_MSTRG.56229,0.844170757512118,1
AC015977.1_MSTRG.47001,0.431143968505228,1
-_MSTRG.48713,NA,NA
-_MSTRG.74413,NA,NA
AC107081.1_MSTRG.47968,0.383222751288354,1
-_MSTRG.75243,NA,NA
-_MSTRG.88303,NA,NA
-_MSTRG.29969,NA,NA
-_MSTRG.72334,NA,NA
-_MSTRG.45262,NA,NA
-_MSTRG.68498,NA,NA
AC126544.1_MSTRG.38304,0.148101308384659,1
-_MSTRG.24376,NA,NA
-_MSTRG.26247,NA,NA
-_MSTRG.17597,NA,NA
-_MSTRG.56948,NA,NA
-_MSTRG.51516,NA,NA
-_MSTRG.9206,NA,NA
AC008875.1_MSTRG.70268,0.939785842431781,1
CYP51A1P1_MSTRG.61499,0.127354433863961,1
AC114964.1_MSTRG.69629,0.594783694997652,1
-_MSTRG.3399,0.761320187304792,1
RPL8P2_MSTRG.56571,0.566946715932894,1
-_MSTRG.28262,NA,NA
-_MSTRG.70755,NA,NA
-_MSTRG.57977,NA,NA
-_MSTRG.73842,NA,NA
AC010999.2_MSTRG.30309,0.998503067663172,1
-_MSTRG.74617,NA,NA
-_MSTRG.60668,NA,NA
SPIC_MSTRG.21998,0.971241440416323,1
-_MSTRG.17678,NA,NA
-_MSTRG.73062,NA,NA
TRBV6-7_MSTRG.83305,0.361234196303826,1
-_MSTRG.70490,NA,NA
