dataset,N_round,performance,features
denovo/transcripts,1,0.7726145948137555,6837
denovo/transcripts,2,0.7987492308794963,3126
denovo/transcripts,3,0.8233863303769782,2175
denovo/transcripts,4,0.8339931276113669,1586
denovo/transcripts,5,0.8429572124683355,1404
denovo/transcripts,6,0.8449214825431426,1193
denovo/transcripts,7,0.8477726884237196,787
denovo/transcripts,8,0.8620661853496662,787
denovo/transcripts,9,0.8601813527250418,787
