fetures,p-val
-_MSTRG.22492,
-_MSTRG.29052,
AC015849.3_MSTRG.37550,0.8022228870187237
RNU6-433P_MSTRG.47805,0.5912753657727904
-_MSTRG.9211,
-_MSTRG.29260,
SNRPCP13_MSTRG.65025,0.6157073645961069
RPL23AP67_MSTRG.23277,0.14645802088197252
-_MSTRG.25189,
CHRM3-AS2_MSTRG.8975,0.0007775849505515724
-_MSTRG.79393,
-_MSTRG.70879,
-_MSTRG.35399,
MIR4802_MSTRG.65671,0.016303967923222893
-_MSTRG.51858,
RPL7P59_MSTRG.83466,0.41899378686596245
GCKR_MSTRG.47070,0.005662693721765057
-_MSTRG.22181,
PAIP1P1_MSTRG.75087,0.6343557683735694
AC008569.2_MSTRG.43275,0.23603862598343242
AL049828.1_MSTRG.26481,2.853416271006135e-05
-_MSTRG.86822,
-_MSTRG.42630,
-_MSTRG.81904,
-_MSTRG.82033,
MIR548V_MSTRG.84549,0.030897305085755968
-_MSTRG.34421,
-_MSTRG.61148,
-_MSTRG.56476,
-_MSTRG.82712,
-_MSTRG.6636,
-_MSTRG.87615,
AC084754.1_MSTRG.19649,0.8776707161974945
-_MSTRG.76328,
-_MSTRG.5216,
-_MSTRG.54715,
AL049779.2_MSTRG.27290,1.191939705052534e-07
REELD1_MSTRG.68084,0.9863500774593156
-_MSTRG.22859,
-_MSTRG.51804,
MIR938_MSTRG.10237,0.5325343862985656
-_MSTRG.49465,
-_MSTRG.91722,
-_MSTRG.44068,
-_MSTRG.92370,
-_MSTRG.58935,
-_MSTRG.47256,
AC018695.1_MSTRG.35465,0.003487746868348033
-_MSTRG.91724,
RAET1K_MSTRG.78416,4.9788595635068646e-30
-_MSTRG.24379,
AL133445.2_MSTRG.27366,0.15630212899288554
-_MSTRG.39024,
-_MSTRG.92140,
FSIP2-AS1_MSTRG.51514,0.37038098783561624
AC078795.2_MSTRG.63620,0.7846729106523664
EIF4A2P1_MSTRG.40652,0.01516384202637811
-_MSTRG.4254,
-_MSTRG.50,
-_MSTRG.38925,
MIR4441_MSTRG.53187,0.8799797438430423
MIRLET7C_MSTRG.56229,0.643644038489567
AC015977.1_MSTRG.47001,0.014968410165938422
-_MSTRG.48713,
-_MSTRG.74413,
AC107081.1_MSTRG.47968,0.6901682347767506
-_MSTRG.75243,
-_MSTRG.88303,
-_MSTRG.29969,
-_MSTRG.72334,
-_MSTRG.45262,
-_MSTRG.68498,
AC126544.1_MSTRG.38304,0.28151727617137157
-_MSTRG.24376,
-_MSTRG.26247,
-_MSTRG.17597,
-_MSTRG.56948,
-_MSTRG.51516,
-_MSTRG.9206,
AC008875.1_MSTRG.70268,0.24335609652374984
CYP51A1P1_MSTRG.61499,4.822240895155474e-06
AC114964.1_MSTRG.69629,0.09056682592553363
-_MSTRG.3399,
RPL8P2_MSTRG.56571,0.03024323460316847
-_MSTRG.28262,
-_MSTRG.70755,
-_MSTRG.57977,
-_MSTRG.73842,
AC010999.2_MSTRG.30309,0.5001837268567257
-_MSTRG.74617,
-_MSTRG.60668,
SPIC_MSTRG.21998,0.009866622609722696
-_MSTRG.17678,
-_MSTRG.73062,
TRBV6-7_MSTRG.83305,0.00038315964356516345
-_MSTRG.70490,
-_MSTRG.6883,
-_MSTRG.75608,
-_MSTRG.32077,
-_MSTRG.17354,
-_MSTRG.25836,
PNPLA1_MSTRG.75548,0.5532195369352164
-_MSTRG.84832,
-_MSTRG.545,
