mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_coxnetsurvivalanalysis__alphas,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7111961364746093,0.08172140495985719,0.4340960025787354,0.18500599969756676,[0.5183328974071054],{'coxnetsurvivalanalysis__alphas': [0.5183328974071054]},0.5,0.7458340207886487,0.5,0.7479482927244121,0.5,0.5987564627026122,0.12095331910650685,14
0.7691969871520996,0.07584119006073661,0.4073811054229736,0.14977595634868718,[0.4067669092013871],{'coxnetsurvivalanalysis__alphas': [0.4067669092013871]},0.7597657866423901,0.7491956772809767,0.7471816283924844,0.7683803206191266,0.7450939369848111,0.7539234699839579,0.008819277737942957,11
1.2834331512451171,0.19330726865736156,0.3586869239807129,0.13653011172232768,[0.31921438760483606],{'coxnetsurvivalanalysis__alphas': [0.31921438760483606]},0.7619175701398659,0.7464321069130506,0.7587891440501043,0.7747586852064464,0.7512866647140047,0.7586368342046944,0.00973325090700211,9
1.0587596416473388,0.13794376833392707,0.35103445053100585,0.04977338293001093,[0.250506673352531],{'coxnetsurvivalanalysis__alphas': [0.250506673352531]},0.7629520814367293,0.7451946873453226,0.7622964509394572,0.7753539992345962,0.7487760994183857,0.7589146636748982,0.01085372946593182,8
1.0210002422332765,0.178754433343545,0.3975710391998291,0.05265330994494719,[0.19658760955297544],{'coxnetsurvivalanalysis__alphas': [0.19658760955297544]},0.7639865927335926,0.7440810097343673,0.7632567849686848,0.7773525534719564,0.7491526842127285,0.759565925024266,0.011813103634491624,7
1.3120667934417725,0.08820877939033951,0.3866826057434082,0.07728235922907949,[0.15427408664425765],{'coxnetsurvivalanalysis__alphas': [0.15427408664425765]},0.7661590664570057,0.7481232469889457,0.7670146137787056,0.7785006590976741,0.7486087283986778,0.7616812629442018,0.011714080403322467,6
1.3524049282073975,0.10048230339354497,0.35907869338989257,0.03528793442834253,[0.1210681276609464],{'coxnetsurvivalanalysis__alphas': [0.1210681276609464]},0.7621037821733013,0.7508868173568718,0.7739039665970773,0.7821150656971553,0.7491526842127285,0.7636324632074268,0.012818445539643949,4
1.4350932121276856,0.15846874763559415,0.3341377258300781,0.08374739469093036,[0.09500942027371123],{'coxnetsurvivalanalysis__alphas': [0.09500942027371123]},0.7585036828602169,0.756578947368421,0.7767432150313153,0.7883658629927287,0.7594878446796937,0.767935910586475,0.012524128056574955,2
1.6082180500030518,0.11401817919099098,0.31934561729431155,0.032778043323695806,[0.07455958983710716],{'coxnetsurvivalanalysis__alphas': [0.07455958983710716]},0.7550691053546305,0.7563520871143375,0.7751983298538622,0.7947017051494664,0.7621239382400937,0.768689033142478,0.014831272298388543,1
1.7950604438781739,0.20577360536321734,0.27500171661376954,0.06372496684550465,[0.058511381509985326],{'coxnetsurvivalanalysis__alphas': [0.058511381509985326]},0.7517172887527932,0.7552796568223066,0.7760334029227557,0.7898116256325212,0.7609941838570652,0.7667672315974884,0.014203515491090585,3
2.1295737743377687,0.20773091928828477,0.27807931900024413,0.06067410121981995,[0.045917390018999124],{'coxnetsurvivalanalysis__alphas': [0.045917390018999124]},0.7473309608540926,0.7527223230490018,0.7750730688935282,0.7831781264617086,0.7542575003138207,0.7625123959144303,0.013995054292993421,5
2.7483308792114256,0.3592682290778228,0.17830262184143067,0.03989358300945861,[0.036034129629926234],{'coxnetsurvivalanalysis__alphas': [0.036034129629926234]},0.7376065546635769,0.7459990100643458,0.7660960334029228,0.7747586852064464,0.7468513326917444,0.7542623232058072,0.013861870743130516,10
143.27452144622802,171.08979733645896,0.1983181953430176,0.02132301347830288,[0.028278142500021624],{'coxnetsurvivalanalysis__alphas': [0.028278142500021624]},0.7291235620292974,0.7429879557828741,0.7639665970772442,0.7695284262448442,0.7396962215992301,0.749060552546698,0.015252375118062909,12
745.7725883007049,255.60061740112496,0.15117487907409669,0.07858448728136957,[0.022191554269911366],{'coxnetsurvivalanalysis__alphas': [0.022191554269911366]},0.5578498717205992,0.5,0.7538204592901879,0.7765446272908959,0.7327503242813507,0.6641930565166068,0.11280450213318444,13
313.7617299556732,126.61897029656807,0.027248525619506837,0.054497051239013675,[0.017415043470908487],{'coxnetsurvivalanalysis__alphas': [0.017415043470908487]},0.5,0.5,0.7379958246346555,0.5,0.5,0.5475991649269311,0.0951983298538622,15
411.54229106903074,433.5681720807805,0.02838287353515625,0.0567657470703125,[0.013666628997899553],{'coxnetsurvivalanalysis__alphas': [0.013666628997899553]},0.5,0.5,0.5,0.5,0.5432026444621114,0.5086405288924223,0.017281057784844567,18
528.3593072891235,449.8855376937786,0.0,0.0,[0.010725023367196074],{'coxnetsurvivalanalysis__alphas': [0.010725023367196074]},0.5,0.5,0.5,0.5,0.5,0.5,0.0,20
654.2248030662537,408.0096667329943,0.023206663131713868,0.04641332626342774,[0.008416569019659521],{'coxnetsurvivalanalysis__alphas': [0.008416569019659521]},0.5,0.503217290876093,0.5,0.5,0.5,0.5006434581752186,0.001286916350437206,19
682.48702917099,398.6039060353567,0.024333477020263672,0.048666954040527344,[0.006604986454329033],{'coxnetsurvivalanalysis__alphas': [0.006604986454329033]},0.5,0.5447533410328329,0.5,0.5,0.5,0.5089506682065666,0.017901336413133163,17
802.3499026298523,389.42697137245506,0.023484182357788087,0.04696836471557618,[0.005183328974071056],{'coxnetsurvivalanalysis__alphas': [0.005183328974071056]},0.5,0.5479706319089259,0.5,0.5,0.5,0.5095941263817851,0.019188252763570366,16
