## trainnig 
# mean cindex: [0.76734146 0.7565008  0.7408006  0.72443076 0.7111772 ] 
# best alpha: [0.012589254117941675] 
## validation 
# cindex:0.6991663069898457 
# features in: 58+age+treatment, features out: 57 
## baseline 
## features: ['age', 'treatGroup=CytoImmu', 'treatGroup=Endo', 'treatGroup=EndoCyto', 'treatGroup=EndoCytoImmu', 'treatGroup=EndoImmu'] 
# cindex: 0.7074691624451966 
# base_mean_auc: 0.7264476659177086 
AUC,base,time,mean
0.7695300515929873,0.7497352038419242,775.5,0.7258577605971436
0.7638796675957564,0.7585831501266684,835.5,0.7258577605971436
0.7562788313185105,0.7442454231987335,895.5,0.7258577605971436
0.729933449398858,0.730985256338062,955.5,0.7258577605971436
0.7296184197669073,0.7162562548687551,1015.5,0.7258577605971436
0.7344510984716708,0.7199097618267033,1075.5,0.7258577605971436
0.7414168553253193,0.7274239297483261,1135.5,0.7258577605971436
0.7284110385921112,0.7164801030902238,1195.5,0.7258577605971436
0.7218295108603121,0.706850021723126,1255.5,0.7258577605971436
0.7198564985641438,0.7122723063748314,1315.5,0.7258577605971436
0.6929360355871202,0.6840002363804251,1375.5,0.7258577605971436
0.6994842920194584,0.6922784708255618,1435.5,0.7258577605971436
0.6986500907802577,0.6901284128779643,1495.5,0.7258577605971436
0.702078071451959,0.6947939943212164,1555.5,0.7258577605971436
0.7007364595948223,0.6974907617606301,1615.5,0.7258577605971436
0.717893304367068,0.7124523806217309,1675.5,0.7258577605971436
0.7052646308268085,0.7040832430703889,1735.5,0.7258577605971436
0.7086621096288085,0.7157929024487958,1795.5,0.7258577605971436
0.7056515941724109,0.7171691530814357,1855.5,0.7258577605971436
0.7197389192479358,0.7311899008602141,1915.5,0.7258577605971436
0.7015767930936628,0.7241118315847866,1975.5,0.7258577605971436
0.7068300791449286,0.7251770936031078,2035.5,0.7258577605971436
0.6943593733538673,0.7148806945010682,2095.5,0.7258577605971436
0.6966196582176525,0.7136440925367838,2155.5,0.7258577605971436
0.7013166741560296,0.7208904072666197,2215.5,0.7258577605971436
0.6911096881188694,0.7164448540097945,2275.5,0.7258577605971436
0.6943673781945707,0.7186662581309247,2335.5,0.7258577605971436
0.6956984254194456,0.7215032453813346,2395.5,0.7258577605971436
0.6978074505102319,0.7241476639771689,2455.5,0.7258577605971436
0.7031032677113895,0.7218227168315582,2515.5,0.7258577605971436
0.7023486436623103,0.719894985002103,2575.5,0.7258577605971436
0.7043062566432297,0.7233890756284457,2635.5,0.7258577605971436
0.711370113301794,0.7391771019294209,2695.5,0.7258577605971436
0.7277140799055037,0.7454038883150358,2755.5,0.7258577605971436
0.7456076257820142,0.7473997743881907,2815.5,0.7258577605971436
0.7561679537186439,0.7675082498742771,2875.5,0.7258577605971436
0.7442678695454648,0.7536279100003982,2935.5,0.7258577605971436
0.6762943886856044,0.682991302976808,2995.5,0.7258577605971436
0.6523976224134976,0.6601682443340433,3055.5,0.7258577605971436
