## trainnig 
# mean cindex: [0.7358777  0.7364774  0.73258999 0.72898466 0.72161119] 
# best alpha: [0.01584893192461114] 
## validation 
# cindex:0.7369600398356778 
# features in: 6+age+treatment, features out: 7 
## baseline 
## features: ['age', 'treatGroup=Endo', 'treatGroup=EndoCyto', 'treatGroup=EndoCytoImmu'] 
# cindex: 0.6310842773559069 
# base_mean_auc: 0.6259041297743244 
AUC,base,time,mean
0.7247931496495351,0.6936798375503709,724.0,0.7070589217579116
0.6773445399928915,0.672641890448832,784.0,0.7070589217579116
0.6806094091267556,0.6746192148407035,844.0,0.7070589217579116
0.705221769560661,0.691651554175667,904.0,0.7070589217579116
0.7287270566757069,0.6979299012769975,964.0,0.7070589217579116
0.734254987779649,0.6741355033581213,1024.0,0.7070589217579116
0.734254987779649,0.6741355033581213,1084.0,0.7070589217579116
0.7339666588734641,0.6731990348707306,1144.0,0.7070589217579116
0.7291050907294182,0.6880064012716405,1204.0,0.7070589217579116
0.7295071257881364,0.6894737387462043,1264.0,0.7070589217579116
0.7465343878632001,0.6667244313268927,1324.0,0.7070589217579116
0.7465343878632001,0.6667244313268927,1384.0,0.7070589217579116
0.7567165466230295,0.682851536368521,1444.0,0.7070589217579116
0.7582684413890607,0.6833443822377268,1504.0,0.7070589217579116
0.7703653815316711,0.6595554312172538,1564.0,0.7070589217579116
0.7827851297762327,0.649750840043887,1624.0,0.7070589217579116
0.7845651910887181,0.6496941827975795,1684.0,0.7070589217579116
0.7840263066409188,0.6495800585974765,1744.0,0.7070589217579116
0.7825265342307324,0.6524216897109432,1804.0,0.7070589217579116
0.7732826595081699,0.6585567477017442,1864.0,0.7070589217579116
0.7617166022277022,0.6624693065138932,1924.0,0.7070589217579116
0.6395474710784862,0.5945254075108373,1984.0,0.7070589217579116
0.6368498603781882,0.6481065478321177,2044.0,0.7070589217579116
0.622034569337788,0.6436930217515346,2104.0,0.7070589217579116
0.6846963168913682,0.6101310335079018,2164.0,0.7070589217579116
0.7221082082694278,0.4917752521971975,2224.0,0.7070589217579116
